problem,count_atoms,MDE_classic,MDE_quaternion,RMSD,samples_classic,samples_quaternion,memory_classic,memory_quaternion,allocs_classic,allocs_quaternion,time_classic(mean),time_quaternion(mean),gctime_classic(mean),gctime_quaternion(mean),time_classic(median),time_quaternion(median),gctime_classic(median),gctime_quaternion(median),time_classic(minimum),time_quaternion(minimum),gctime_classic(minimum),gctime_quaternion(minimum),time_classic(maxium),time_quaternion(maxium),gctime_classic(maximum),gctime_quaternion(maximum)
pdb2kxa,144,1.3253632478098313e-12,1.3510687053989362e-12,3.524025198129485e-13,100000,100000,271120,127648,1280,1431,0.00023869826132,0.00014100481424000002,3.235897836e-5,1.099484023e-5,0.00021473000000000003,0.000134253,0.0,0.0,0.00012611800000000001,0.00010004500000000001,0.0,0.0,0.065288135,0.048110498,0.064314783,0.046782581000000004
pdb2kyb,362,1.3212928034476551e-11,1.372886285096166e-11,2.6754642035279415e-12,32391,60965,1873808,653264,9080,10992,0.0018471010857028186,0.00097941857660953,0.0002615369234355222,7.804175525301403e-5,0.001640015,0.000926838,0.0,0.0,0.0009418120000000001,0.000683495,0.0,0.0,0.07746069,0.066724764,0.07534586900000001,0.064611894
pdb2l3m,428,1.0275145438521628e-12,9.339773795460965e-13,6.972508204033222e-13,79266,100000,837248,378576,4155,4676,0.0007523041357202331,0.00043750476072000003,0.00010050085647061793,3.260844519e-5,0.0006755660000000001,0.0004198615,0.0,0.0,0.00040828,0.000317351,0.0,0.0,0.066818008,0.048137716000000004,0.065385475,0.046629028
pdb2l3n,626,3.0247150621692046e-14,3.6336733308664e-14,4.4517427118913743e-14,13198,25149,4578832,1579472,26444,31444,0.004539191880209123,0.0023795686274603366,0.000656148035232611,0.00019962414358423795,0.0040176395000000005,0.0022465180000000003,0.0,0.0,0.002259547,0.001622212,0.0,0.0,0.087510982,0.071932204,0.08331682300000001,0.069010365
pdb2l45,116,2.2362363552806333e-14,3.0333669952981925e-14,8.53254035817288e-14,100000,100000,228544,103184,1105,1250,0.00020331345658000001,0.00011890869467000001,2.807061509e-5,9.582737440000001e-6,0.00018187000000000002,0.00011227600000000001,0.0,0.0,0.000105165,8.327800000000001e-5,0.0,0.0,0.068679899,0.053060702,0.06760709300000001,0.051461576
pdb2l5r,138,3.5287614446026595e-14,4.4318501573260593e-14,1.4397708639051962e-14,100000,100000,299696,134400,1434,1697,0.00026964997051,0.00015469295372,3.739884859e-5,1.294851004e-5,0.00024104,0.000146128,0.0,0.0,0.000140982,0.000107269,0.0,0.0,0.073117945,0.054162115000000004,0.07213396000000001,0.052741297000000006
pdb2l6q,374,4.958797410678049e-9,6.131210920619209e-9,1.7792167567810364e-8,92830,100000,725984,326944,3569,4029,0.0006422233386836153,0.00036509814341000003,8.842554234622428e-5,2.8524831810000003e-5,0.000574921,0.00034944500000000004,0.0,0.0,0.000341321,0.00026125300000000003,0.0,0.0,0.06899754000000001,0.049580117,0.067553685,0.049077197
pdb2l6r,374,7.323499017274144e-10,7.324625927613097e-10,2.4264550586987446e-11,87098,100000,763728,338432,3772,4275,0.0006845948434177593,0.00039077030149,9.386629112034719e-5,3.0469633870000002e-5,0.000611842,0.00037344900000000004,0.0,0.0,0.00036396100000000005,0.000280019,0.0,0.0,0.07108273300000001,0.053534331000000004,0.06963405,0.052985125
pdb2l98,434,3.2726044928479444e-13,3.6384327072365916e-13,8.910240212502075e-13,77594,100000,861008,384912,4300,4838,0.0007686838406835581,0.00044100342037,0.00010506978366884038,3.416157446e-5,0.0006873875000000001,0.00042127150000000003,0.0,0.0,0.000410049,0.000317285,0.0,0.0,0.075870317,0.051943,0.07454656700000001,0.051516879
pdb2lci,806,2.578607947518248e-13,2.403661904402223e-13,8.276686877977198e-14,40380,70069,1656496,745968,9262,10316,0.0014803305097077762,0.0008507761556037621,0.0002029554548043586,6.532739934921293e-5,0.001325079,0.000814199,0.0,0.0,0.000791081,0.0006088840000000001,0.0,0.0,0.07181235100000001,0.051800783,0.06987921100000001,0.050041159
pdb2lde,152,3.152888933348763e-14,3.762107256118611e-14,4.1691202873524135e-14,100000,100000,289888,131136,1395,1571,0.00025358226445,0.00014469327845000003,3.584448441e-5,1.1985196970000002e-5,0.000225793,0.000136426,0.0,0.0,0.00013087300000000002,0.000100678,0.0,0.0,0.072399478,0.054498209000000006,0.07146501300000001,0.052976599000000006
pdb2le2,676,2.0641632926503741e-13,2.041613119075924e-13,7.76605071068115e-14,4301,8272,13267344,4304480,83500,98707,0.013936422510346432,0.007244501204182786,0.001984794891885608,0.0005996186557059961,0.012161753,0.006829229500000001,0.0,0.0,0.006873284,0.0049422730000000005,0.0,0.0,0.10611556500000001,0.08812908000000001,0.09236970900000001,0.08073611700000001
pdb2le7,122,2.1115104155138803e-14,2.7491583898044427e-14,3.978853412058159e-14,100000,100000,235264,107024,1135,1280,0.00020537050555000002,0.00011812169788000001,2.8866211500000003e-5,9.49382171e-6,0.00018286500000000002,0.00011090500000000001,0.0,0.0,0.00010601500000000001,8.1456e-5,0.0,0.0,0.072730396,0.05652911100000001,0.071554241,0.054450308
pdb2ler,68,1.3146570591475918e-14,1.532269280866795e-14,2.1464882301837363e-14,100000,100000,128144,59216,634,708,0.00011133762297,6.437569320000001e-5,1.567863948e-5,5.58176353e-6,9.836400000000001e-5,5.9976e-5,0.0,0.0,5.6581000000000006e-5,4.3950000000000004e-5,0.0,0.0,0.07403203300000001,0.059322682,0.072087049,0.058814679
pdb2lgi,338,1.0680592362641117e-12,1.0521832200708959e-12,1.891741285697764e-13,99913,100000,664320,301824,3191,3629,0.0005964681859317606,0.00034669897281000003,8.009646093100998e-5,2.586386626e-5,0.0005340540000000001,0.000330735,0.0,0.0,0.00032305400000000003,0.000251342,0.0,0.0,0.07241032900000001,0.05250893500000001,0.070931386,0.050675913
pdb2lhc,338,5.828655249984232e-10,5.829597960877581e-10,2.1361762683331316e-12,91889,100000,720416,313360,3473,3956,0.0006494811292537736,0.00036543614012000004,8.924336163196901e-5,2.8119014160000002e-5,0.000578122,0.00034725200000000004,0.0,0.0,0.000343311,0.00026107800000000004,0.0,0.0,0.075747593,0.055403816,0.074318229,0.053725430000000005
pdb2lhd,338,1.9296950054152713e-12,2.032739495106419e-12,2.390247403500877e-12,73184,100000,866368,358176,4163,4849,0.0008151903049437037,0.00045634657916000007,0.00010990774070835156,3.456949186e-5,0.000726932,0.000432935,0.0,0.0,0.000433313,0.000325917,0.0,0.0,0.07864343700000001,0.060946784000000004,0.077224524,0.059154884000000005
pdb2lhe,338,4.963273326363081e-11,4.967459259259357e-11,4.848797888298714e-13,75976,100000,843056,353168,4042,4696,0.0007852797560018954,0.00044351418669000004,0.00010596780055543856,3.349066554e-5,0.00069959,0.000421281,0.0,0.0,0.00041636,0.000317557,0.0,0.0,0.077938188,0.060061079,0.076423689,0.058212437000000006
pdb2lhg,338,6.459241278122567e-14,7.322121089546636e-14,5.975410026438821e-14,98632,100000,663056,308576,3172,3727,0.000604228322167248,0.00035899088325000005,7.944635596966502e-5,2.6357626330000002e-5,0.0005416630000000001,0.00034251750000000004,0.0,0.0,0.00033120400000000004,0.00026039600000000003,0.0,0.0,0.077898695,0.054146328,0.076545285,0.052456787000000005
pdb2lix,162,4.841969424338826e-14,5.613890041309142e-14,7.897549459883066e-14,100000,100000,319088,143888,1528,1738,0.00028518519987000003,0.00016674431713000002,3.8102553070000004e-5,1.285399052e-5,0.00025511450000000003,0.0001579805,0.0,0.0,0.00014957500000000002,0.00011716100000000001,0.0,0.0,0.07692009100000001,0.058589143,0.07579424300000001,0.05704158
