problem,count_atoms,solutions_classic,solutions_quaternion,MDE_classic,MDE_quaternion,minRMSDclassic,argminRMSDclassic,minRMSDquaternion,argminRMSDquaternion,samples_classic,samples_quaternion,memory_classic,memory_quaternion,allocs_classic,allocs_quaternion,time_classic(mean),time_quaternion(mean),gctime_classic(mean),gctime_quaternion(mean),time_classic(median),time_quaternion(median),gctime_classic(median),gctime_quaternion(median),time_classic(minimum),time_quaternion(minimum),gctime_classic(minimum),gctime_quaternion(minimum),time_classic(maxium),time_quaternion(maxium),gctime_classic(maximum),gctime_quaternion(maximum)
pdb2jpn,476,8,8,6.729704008242983e-14,6.98350681005617e-14,6.419222905463098e-12,2,6.590405622135604e-12,2,100000,100000,5046416,2615664,22407,26663,0.0025648123656500004,0.0020732233868700004,0.00017009066059,0.00015585348439000002,0.0023804965000000003,0.0019077385000000001,0.0,0.0,0.002343443,0.0018426410000000001,0.0,0.0,0.006772843000000001,0.006888081000000001,0.003225798,0.004318818
pdb2jua,614,8,8,1.7398038265364996e-11,1.8816799664449173e-11,0.00018733571978854805,2,0.0001873357179039416,2,100000,100000,5185552,3015792,22783,26523,0.0026647815414800003,0.00222464769959,0.00018275912428,0.00017902943357,0.002465693,0.0020361545000000003,0.0,0.0,0.002419937,0.001978651,0.0,0.0,0.006361165,0.007013584000000001,0.003173533,0.004411391000000001
pdb2jvd,288,2,2,3.3390874651992116e-14,3.8982756328494925e-14,9.424406680739434e-13,1,9.496681129759464e-13,1,100000,100000,1649392,660464,7609,9303,0.0008544214514900001,0.00062984017476,4.728958648e-5,3.840355132e-5,0.0008021370000000001,0.000586648,0.0,0.0,0.000784604,0.000571585,0.0,0.0,0.003977942,0.005025387,0.002530264,0.00419076
pdb2jwe,984,2,2,2.695200301163032e-11,2.733811506895937e-11,9.259695713853202e-11,1,9.205212602362613e-11,1,94704,100000,5809584,2375088,33169,39067,0.003160625319986484,0.0024100547657900004,0.00019757405288055416,0.00014997113834,0.0029578985,0.0022596975000000004,0.0,0.0,0.0029104480000000004,0.002191115,0.0,0.0,0.0069998610000000005,0.006933853,0.003057989,0.004129415
pdb2jws,338,8,8,1.250608443097442e-13,1.5430978447580204e-13,0.0004561189810701727,2,0.00045611898080272505,2,100000,100000,2837232,1635696,11461,13539,0.00145663355631,0.00123047047801,9.689368574e-5,9.793744225e-5,0.0013479140000000002,0.0011246045000000001,0.0,0.0,0.001317622,0.0010889460000000001,0.0,0.0,0.004850294000000001,0.005940684000000001,0.0031108660000000003,0.004377996
pdb2jwu,338,8,8,4.420671013583418e-12,4.372851506779025e-12,0.0003087616758846975,1,0.0003087616754699619,1,100000,100000,2779600,1616944,11195,13183,0.0014245121543600002,0.0012185195519600002,9.608913485e-5,9.699859466e-5,0.0013170895,0.0011127390000000002,0.0,0.0,0.001290632,0.001078702,0.0,0.0,0.005201469,0.005829329,0.003167722,0.004259729
pdb2jxf,182,8,8,1.399230561505234e-13,1.7335401878119705e-13,0.00023999894737683692,1,0.00023999894770495588,1,100000,100000,1491024,874160,5897,6949,0.0007302150849600001,0.00061740850758,5.111220447e-5,5.296770548e-5,0.0006697680000000001,0.000555693,0.0,0.0,0.000658826,0.000543201,0.0,0.0,0.004360517,0.005272631000000001,0.0031207640000000003,0.0042863530000000006
pdb2jz5,548,8,8,2.8601733832203376e-13,2.853573618324609e-13,0.0017459787692088171,1,0.001745978769284073,1,100000,100000,4519248,2621872,19535,22783,0.0022897614893700002,0.00193924700393,0.0001576390234,0.00015617963829,0.002116055,0.001775459,0.0,0.0,0.002087139,0.0017298370000000001,0.0,0.0,0.006474116,0.006569365000000001,0.003342921,0.004285068
pdb2k2a,422,8,8,3.8099053497865986e-14,5.148182799973492e-14,0.004719493787989312,5,0.004719493787877742,5,100000,100000,3467408,2010864,14439,16931,0.0017691807039100001,0.00150360564477,0.00011968833488,0.00011949756764,0.0016368735,0.001374154,0.0,0.0,0.001607389,0.001342148,0.0,0.0,0.0054927330000000005,0.006111678000000001,0.0031510320000000002,0.004286345
pdb2k36,896,8,8,1.9222938311634302e-13,2.0446696376265945e-13,1.6972447687476264e-12,1,1.60071721189963e-12,1,77352,92777,7498256,4383344,35079,40415,0.0038676579965741032,0.003225812867574938,0.00027605062307374084,0.0002604925065802947,0.003579954,0.002960672,0.0,0.0,0.003515287,0.0028836810000000004,0.0,0.0,0.008827486,0.008265048,0.003353472,0.004448113
